country,continent,year,lifeExp,pop,gdpPercap,total_gdp_usd,iso_alpha,iso_num
Afghanistan,Asia,1952,28.801,8425333,779.4453145,6567086329.952229,AFG,4
Afghanistan,Asia,1957,30.332,9240934,820.8530296,7585448670.233646,AFG,4
Afghanistan,Asia,1962,31.997,10267083,853.1007099999998,8758855796.928928,AFG,4
Afghanistan,Asia,1967,34.02,11537966,836.1971382,9648014149.848902,AFG,4
Afghanistan,Asia,1972,36.088,13079460,739.9811057999998,9678553274.066866,AFG,4
Afghanistan,Asia,1977,38.438,14880372,786.11336,11697659230.96992,AFG,4
Afghanistan,Asia,1982,39.854,12881816,978.0114388,12598563400.516861,AFG,4
Afghanistan,Asia,1987,40.822,13867957,852.3959447999998,11820990309.460772,AFG,4
Afghanistan,Asia,1992,41.674,16317921,649.3413952000002,10595901588.903383,AFG,4
Afghanistan,Asia,1997,41.76300000000001,22227415,635.341351,14121995875.337666,AFG,4
Afghanistan,Asia,2002,42.129,25268405,726.7340548,18363410423.978592,AFG,4
Afghanistan,Asia,2007,43.828,31889923,974.5803384,31079291948.889942,AFG,4
Albania,Europe,1952,55.23,1282697,1601.056136,2053669902.478792,ALB,8
Albania,Europe,1957,59.28,1476505,1942.284244,2867792397.68722,ALB,8
Albania,Europe,1962,64.82,1728137,2312.888958,3996988985.211246,ALB,8
Albania,Europe,1967,66.22,1984060,2760.196931,5476396322.91986,ALB,8
Albania,Europe,1972,67.69,2263554,3313.422188,7500110047.336152,ALB,8
Albania,Europe,1977,68.93,2509048,3533.003910000001,8864476394.377682,ALB,8
Albania,Europe,1982,70.42,2780097,3630.880722,10094200602.590034,ALB,8
Albania,Europe,1987,72.0,3075321,3738.932735,11498418357.532934,ALB,8
Albania,Europe,1992,71.581,3326498,2497.437901,8307722182.800697,ALB,8
Albania,Europe,1997,72.95,3428038,3193.054604,10945912518.586952,ALB,8
Albania,Europe,2002,75.65100000000002,3508512,4604.211737,16153932129.805344,ALB,8
Albania,Europe,2007,76.423,3600523,5937.029525999998,21376411360.04209,ALB,8
Algeria,Africa,1952,43.077,9279525,2449.008185,22725632677.912125,DZA,12
Algeria,Africa,1957,45.685,10270856,3013.976023,30956113719.685688,DZA,12
Algeria,Africa,1962,48.303,11000948,2550.81688,28061403854.402237,DZA,12
Algeria,Africa,1967,51.407,12760499,3246.991771,41433235246.85373,DZA,12
Algeria,Africa,1972,54.518,14760787,4182.663766,61739408942.54384,DZA,12
Algeria,Africa,1977,58.014,17152804,4910.416756000001,84227416173.98386,DZA,12
Algeria,Africa,1982,61.368,20033753,5745.160213,115097120652.66939,DZA,12
Algeria,Africa,1987,65.79899999999999,23254956,5681.358539,132119742844.66928,DZA,12
Algeria,Africa,1992,67.744,26298373,5023.216647,132102425042.61534,DZA,12
Algeria,Africa,1997,69.152,29072015,4797.295051,139467033682.09778,DZA,12
Algeria,Africa,2002,70.994,31287142,5288.040382,165447670333.36826,DZA,12
Algeria,Africa,2007,72.301,33333216,6223.367465,207444851958.21744,DZA,12
Angola,Africa,1952,30.015,4232095,3520.610273,14899557133.311934,AGO,24
Angola,Africa,1957,31.999,4561361,3827.940465,17460618347.372864,AGO,24
Angola,Africa,1962,34.0,4826015,4269.276742,20603593596.04313,AGO,24
Angola,Africa,1967,35.985,5247469,5522.776375,28980597821.744877,AGO,24
Angola,Africa,1972,37.928,5894858,5473.288004999999,32264255582.578285,AGO,24
Angola,Africa,1977,39.483,6162675,3008.647355,18541315838.474625,AGO,24
Angola,Africa,1982,39.942,7016384,2756.953672,19343845632.962048,AGO,24
Angola,Africa,1987,39.906,7874230,2430.208311,19136019188.72553,AGO,24
Angola,Africa,1992,40.647,8735988,2627.845685,22956828370.01178,AGO,24
Angola,Africa,1997,40.963,9875024,2277.140884,22486820880.881214,AGO,24
Angola,Africa,2002,41.003,10866106,2773.287312,30134833900.64707,AGO,24
Angola,Africa,2007,42.731,12420476,4797.231267,59583895818.22309,AGO,24
Argentina,Americas,1952,62.485,17876956,5911.315053,105676319104.61867,ARG,32
Argentina,Americas,1957,64.399,19610538,6856.8562120000015,134466639305.96208,ARG,32
Argentina,Americas,1962,65.142,21283783,7133.166023000002,151820757736.50504,ARG,32
Argentina,Americas,1967,65.634,22934225,8052.953020999998,184688236498.0437,ARG,32
Argentina,Americas,1972,67.065,24779799,9443.038526,233996596623.5363,ARG,32
Argentina,Americas,1977,68.48100000000001,26983828,10079.02674,271970723959.5607,ARG,32
Argentina,Americas,1982,69.942,29341374,8997.897412,264010673179.12408,ARG,32
Argentina,Americas,1987,70.774,31620918,9139.671389,289004799538.5151,ARG,32
Argentina,Americas,1992,71.868,33958947,9308.41871,316104097626.69836,ARG,32
